geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
217115,217115,5.75848918,-0.22649477,10.0323,0.6726,"POLYGON ((-0.226501622745415 5.75846917419977, -0.226510179323176 5.75850365285445, -0.226487903112542 5.75850919875942, -0.226479346536365 5.75847472010502, -0.226501622745415 5.75846917419977))",6CQXQQ5F+9CRC,1,0
5093,5093,5.75849539,-0.23128678,22.401,0.8311,"POLYGON ((-0.231295483247243 5.75846623680525, -0.23131694477539 5.75849899515578, -0.231278088819619 5.75852453260688, -0.231256627294402 5.75849177425535, -0.231295483247243 5.75846623680525))",6CQXQQ59+9FWX,1,0
140987,140987,5.75856403,-0.23123629,48.4381,0.7729,"POLYGON ((-0.231239173268756 5.75851916300001, -0.231280618251602 5.75855696470498, -0.231233398786493 5.7586089000327, -0.231191953806489 5.75857109832396, -0.231239173268756 5.75851916300001))",6CQXQQ59+CGCF,1,0
245811,245811,5.75858708,-0.23173642,143.9788,0.8007,"POLYGON ((-0.231731144674107 5.75850847239452, -0.231806566227957 5.75859607106344, -0.231792813715444 5.75860794955454, -0.231800985978816 5.75861744126207, -0.231744261054194 5.75866643640779, -0.231660667249538 5.75856934602285, -0.231731144674107 5.75850847239452))",6CQXQQ59+C8JF,1,0
205599,205599,5.75865107,-0.22693541,112.0721,0.9102,"POLYGON ((-0.226965946220776 5.75858747821368, -0.227005821108065 5.75865361300853, -0.226904881732818 5.75871466658361, -0.226865006859563 5.75864853178529, -0.226965946220776 5.75858747821368))",6CQXQQ5F+F682,1,0
76362,76362,5.75880356,-0.22798446,62.0073,0.7455,"POLYGON ((-0.227995614318133 5.75875403568222, -0.228030634792797 5.75882451113804, -0.227973313419688 5.7588530858284, -0.227938292953877 5.75878261037185, -0.227995614318133 5.75875403568222))",6CQXQQ5C+GRC3,1,0
189874,189874,5.75897795,-0.22499877,98.4566,0.7946,"POLYGON ((-0.225025562925101 5.7589116439764, -0.225067277703755 5.75895777179932, -0.224971967919649 5.75904423772936, -0.224930253149632 5.75899810990009, -0.225025562925101 5.7589116439764))",6CQXQQ5G+H2R2,1,0
230197,230197,5.75953754,-0.22447481,54.0351,0.7493,"POLYGON ((-0.224496236681313 5.75948769791317, -0.224526225937316 5.75952043457664, -0.22445337918912 5.75958738004056, -0.224423389938151 5.75955464337445, -0.224496236681313 5.75948769791317))",6CQXQQ5G+R66H,1,0
150172,150172,5.75959306,-0.23139426,440.1622,0.9388,"POLYGON ((-0.231472672714413 5.75942532214845, -0.231548602555124 5.75949104678958, -0.231315847253332 5.75976079797181, -0.231239917433194 5.75969507329584, -0.231472672714413 5.75942532214845))",6CQXQQ59+RCQM,1,0
124025,124025,5.75964567,-0.22467249,19.9258,0.7321,"POLYGON ((-0.224677860952836 5.75961708993882, -0.224701379131214 5.75964276267285, -0.224667125057541 5.75967424184854, -0.224643606880545 5.75964856911284, -0.224677860952836 5.75961708993882))",6CQXQQ5G+V44V,1,0
